Settore merceologico,Insegna,Tipo Via,Denominazione,Civico,Codice Via,Municipio,Superficie vendita[m²],Superficie altri usi[m²],Superficie totale[m²]
alimentare/non alimentare,carrefour,VIA,PORRO LAMBERTENGHI LUIGI,16,1142,9,300.0,86.0,386.0
alimentare/non alimentare,carrefour,VIA,SAN SENATORE,16,404,1,368.0,56.0,424.0
alimentare/non alimentare,carrefour,VIA,SARPI FRA' PAOLO,33,7210,8,2442.0,2456.0,4898.0
alimentare/non alimentare,carrefour,VIA,SISMONDI GIANCARLO,35,3256,4,398.0,402.0,800.0
alimentare/non alimentare,carrefour,VIA,SODERINI LUIGI,48,6675,6,1308.0,802.0,2110.0
alimentare/non alimentare,carrefour,VIA,SPINOZA BENEDETTO,4,2205,3,957.0,998.0,1955.0
alimentare/non alimentare,carrefour,VIA,VOLTRI,8,5354,6,292.0,130.0,422.0
alimentare/non alimentare,carrefour,VLE,ABRUZZI,54,2177,3,370.0,43.0,413.0
alimentare/non alimentare,carrefour,VLE,FAMAGOSTA,16,5353,6,980.0,805.0,1785.0
alimentare/non alimentare,centro botanico,VIA,CORRENTI CESARE,10,555,1,489.0,157.0,646.0
alimentare/non alimentare,centro sposi paradiso,VIA,COSTA ANDREA,1,2276,2,305.0,0.0,305.0
alimentare/non alimentare,coin,CSO,VERCELLI,30,6193,7,3500.0,2380.0,5880.0
alimentare/non alimentare,coin,PLE,CANTORE ANTONIO,12,5103,6,3470.0,1285.0,4755.0
alimentare/non alimentare,coin,PLE,LORETO,16,2264,2,1910.0,1774.0,3684.0
alimentare/non alimentare,conad,PLE,BOLOGNA,7,4172,4,670.0,645.0,1315.0
alimentare/non alimentare,conad,VIA,GONIN FRANCESCO,71,5376,6,800.0,492.0,1292.0
alimentare/non alimentare,coop,VIA,FREIKOFEL,2,4367,4,654.0,0.0,654.0
alimentare/non alimentare,coop,VIA,ORNATO LUIGI,28,1591,9,1200.0,0.0,1200.0
alimentare/non alimentare,crai,VLE,BLIGNY,54,4045,5,280.0,0.0,280.0
alimentare/non alimentare,decathlon,FOR,BUONAPARTE,74,711,1,2850.0,1350.0,4200.0
alimentare/non alimentare,dico,VIA,BASSI UGO,1,1143,9,600.0,0.0,600.0
alimentare/non alimentare,di perdi,VIA,DARWIN CARLO ROBERTO,2,5238,6,390.0,128.0,518.0
alimentare/non alimentare,di  per di,LGO,SCALABRINI GIOVANNI BATTISTA,1,5392,6,320.0,360.0,680.0
alimentare/non alimentare,di  per di,VIA,OLGETTINA,60,2530,3,317.0,178.0,495.0
alimentare/non alimentare,di per di,VIA,CASATI FELICE,32,2122,2,310.0,69.0,379.0
alimentare/non alimentare,di per di,VIA,CONCA DEL NAVIGLIO,37,5180,1,440.0,73.0,513.0
alimentare/non alimentare,di per di,VIA,DELLE ORCHIDEE,4,6717,6,280.0,240.0,520.0
alimentare/non alimentare,di per di,VIA,PARAVIA PIER ALESSANDRO,77,6571,7,382.0,174.0,556.0
alimentare/non alimentare,di per di,VLE,GIOVANNI DA CERMENATE,27,5261,5,278.0,88.0,366.0
alimentare/non alimentare,discount,VIA,ZOCCHI CESARE,1,1301,9,300.0,150.0,450.0
alimentare/non alimentare,di  x di,VIA,BERTANI AGOSTINO,2,7112,1,260.0,105.0,365.0
alimentare/non alimentare,di x di il supermercato,VIA,VILLAPIZZONE,18,7272,8,470.0,195.0,665.0
alimentare/non alimentare,ecom,CSO,LODI,65,4068,4,600.0,300.0,900.0
alimentare/non alimentare,esselunga,VIA,BERGAMO,10,3189,4,1200.0,112.0,1312.0
alimentare/non alimentare,esselunga,VIA,CAGLIERO GIOVANNI,14,1407,2,1018.0,266.0,1284.0
alimentare/non alimentare,esselunga,VIA,DELLE FORZE ARMATE,199,6643,7,1400.0,508.0,1908.0
alimentare/non alimentare,esselunga,VIA,HAYEZ FRANCESCO,14,2172,3,1700.0,0.0,1700.0
alimentare/non alimentare,esselunga,VIA,ISOTTA CESARE,7,4354,5,2900.0,0.0,2900.0
alimentare/non alimentare,esselunga,VIA,MAC MAHON,128,7221,8,1200.0,676.0,1876.0
alimentare/non alimentare,esselunga,VIA,MORGANTINI MARIO,15,6568,7,1060.0,594.0,1654.0
alimentare/non alimentare,esselunga,VIA,NOVARA,86,6624,7,2490.0,1486.0,3976.0
alimentare/non alimentare,esselunga,VLE,CASSALA,22,5275,6,1191.0,0.0,1191.0
alimentare/non alimentare,esselunga,VLE,PAPINIANO,27,5097,1,1400.0,996.0,2396.0
alimentare/non alimentare,esselunga,VLE,PIAVE,38,2179,1,1400.0,422.0,1822.0
alimentare/non alimentare,esselunga centro commerci,VIA,LORENTEGGIO,219,5132,6,4670.0,3327.0,7997.0
